country_name,rtariff-aug
AFGHANISTAN,15.0
ALGERIA,30.0
ANGOLA,15.0
BANGLADESH,20.0
BOLIVIA,15.0
BOSNIA AND HERZEGOVINA,30.0
BOTSWANA,15.0
BRAZIL,10.0
BRUNEI,25.0
CAMBODIA,19.0
CAMEROON,15.0
CHAD,15.0
COSTA RICA,15.0
CÃ”TE D`IVOIRE,15.0
DEMOCRATIC REPUBLIC OF THE CONGO,15.0
ECUADOR,15.0
EQUATORIAL GUINEA,15.0
FALKLAND ISLANDS,10.0
FIJI,15.0
GHANA,15.0
GUYANA,15.0
ICELAND,15.0
INDIA,25.0
INDONESIA,19.0
IRAQ,35.0
ISRAEL,15.0
JAPAN,15.0
JORDAN,15.0
KAZAKHSTAN,25.0
LAOS,40.0
LESOTHO,15.0
LIBYA,30.0
LIECHTENSTEIN,15.0
MADAGASCAR,15.0
MALAWI,15.0
MALAYSIA,19.0
MAURITIUS,15.0
MOLDOVA,25.0
MOZAMBIQUE,15.0
MYANMAR (BURMA),40.0
NAMIBIA,15.0
NAURU,15.0
NEW ZEALAND,15.0
NICARAGUA,18.0
NIGERIA,15.0
NORTH MACEDONIA,15.0
NORWAY,15.0
PAKISTAN,19.0
PAPUA NEW GUINEA,15.0
PHILIPPINES,19.0
SERBIA,35.0
SOUTH AFRICA,30.0
SOUTH KOREA,15.0
SRI LANKA,20.0
SWITZERLAND,39.0
SYRIA,41.0
TAIWAN,20.0
THAILAND,19.0
TRINIDAD AND TOBAGO,15.0
TUNISIA,25.0
TURKEY,15.0
UGANDA,15.0
UNITED KINGDOM,10.0
VANUATU,15.0
VENEZUELA,15.0
VIETNAM,20.0
ZAMBIA,15.0
ZIMBABWE,15.0
