CTY_NAME,tariff_rate,CTY_CODE
Algeria,30,7210
Angola,32,7620
Bangladesh,37,5380
Bosnia and Herzegovina,36,4793
Botswana,38,7930
Brunei,24,5610
Cambodia,49,5550
Cameroon,12,7420
Chad,13,7560
China,104,5700
C̫te d`Ivoire,21,7480
Democratic Republic of the Congo,11,7660
Equatorial Guinea,13,7380
European Union,20,0003
Falkland Islands,42,3720
Fiji,32,6863
Guyana,38,3120
India,27,5330
Indonesia,32,5600
Iraq,39,5050
Israel,17,5081
Japan,24,5880
Jordan,20,5110
Kazakhstan,27,4634
Laos,48,5530
Lesotho,50,7990
Libya,31,7250
Liechtenstein,37,4411
Madagascar,47,7880
Malawi,18,7970
Malaysia,24,5570
Mauritius,40,7850
Moldova,31,4641
Mozambique,16,7870
Myanmar (Burma),45,5460
Namibia,21,7920
Nauru,30,6862
Nicaragua,19,2190
Nigeria,14,7530
North Macedonia,33,4794
Norway,16,4039
Pakistan,30,5350
Philippines,18,5650
Serbia,38,4801
South Africa,31,7910
South Korea,26,5800
Sri Lanka,44,5420
Switzerland,32,4419
Syria,41,5020
Taiwan,32,5830
Thailand,37,5490
Tunisia,28,7230
Vanuatu,23,6224
Venezuela,15,3070
Vietnam,46,5520
Zambia,17,7940
Zimbabwe,18,7960
Canada,8.75,1220
Mexico,4.5,2010